id,price
15035,551258.56
15036,488636.38
15037,1385822.9
15038,278461.72
15039,308690.3
15040,306728.56
15041,392980.6
15042,686144.0
15043,273861.34
15044,406958.22
15045,682993.94
15046,215421.44
15047,521338.06
15048,503381.06
15049,844866.2
15050,214238.5
15051,418180.44
15052,508605.62
15053,1033072.75
15054,422834.72
15055,529420.75
15056,586216.0
15057,1163749.1
15058,356011.97
15059,436996.03
15060,500471.7
15061,386104.72
15062,569574.3
15063,284562.25
15064,596697.6
15065,904705.25
15066,341347.7
15067,638063.94
15068,1257455.2
15069,361595.6
15070,565005.5
15071,571522.8
15072,485804.78
15073,407536.9
15074,343466.97
15075,727022.44
15076,1176708.1
15077,407615.8
15078,213947.12
15079,864842.25
15080,501331.06
15081,510333.34
15082,650008.56
15083,278983.5
15084,570443.0
15085,1011161.9
15086,538391.6
15087,309489.72
15088,484308.78
15089,204558.06
15090,388733.88
15091,279034.9
15092,246834.05
15093,467913.56
15094,278782.2
15095,246679.19
15096,480918.06
15097,797302.3
15098,477001.75
15099,220869.53
15100,451455.12
15101,166696.89
15102,500606.3
15103,754853.4
15104,488183.12
15105,301088.06
15106,499042.8
15107,474944.12
15108,375022.22
15109,293308.34
15110,253997.77
15111,562239.5
15112,354700.44
15113,345084.97
15114,226535.52
15115,363499.97
15116,473162.4
15117,300223.28
15118,486649.16
15119,704979.6
15120,463004.1
15121,237103.55
15122,300122.25
15123,697481.2
15124,460331.2
15125,555766.5
15126,414163.56
15127,881721.44
15128,523582.72
15129,238392.73
15130,220745.5
15131,251755.22
15132,662377.06
15133,1162576.6
15134,529149.2
15135,632250.75
15136,254286.2
15137,702352.5
15138,305703.8
15139,444954.7
15140,573016.56
15141,371826.75
15142,428863.12
15143,532775.25
15144,589633.94
15145,496997.2
15146,533339.0
15147,305343.1
15148,241105.78
15149,488031.84
15150,432566.12
15151,499838.72
15152,297390.2
15153,371193.62
15154,819640.44
15155,182015.64
15156,407896.12
15157,351744.84
15158,356167.5
15159,306814.88
15160,530475.44
15161,1039067.4
15162,496199.22
15163,404084.75
15164,511003.44
15165,621721.9
15166,1085163.9
15167,578301.06
15168,747877.0
15169,791789.8
15170,188078.92
15171,483051.38
15172,222480.64
15173,647520.1
15174,153457.98
15175,214700.33
15176,560867.44
15177,309376.72
15178,470881.9
15179,913096.6
15180,720207.25
15181,353118.53
15182,712478.7
15183,289142.12
15184,449019.66
15185,383457.53
15186,1083912.5
15187,419597.03
15188,452739.5
15189,367499.03
15190,669681.44
15191,250844.5
15192,442804.66
15193,526389.44
15194,244380.05
15195,287954.2
15196,563808.44
15197,563113.6
15198,464803.4
15199,375881.94
15200,263189.84
15201,671310.75
15202,449530.8
15203,191399.3
15204,214818.08
15205,327115.2
15206,1903616.0
15207,492665.56
15208,323913.38
15209,314926.7
15210,339983.16
15211,311255.34
15212,719520.0
15213,492318.03
15214,323039.44
15215,468194.3
